Area,"A00-R99,U00-Y89 All causes, all ages",F10-F19 Mental and behavioural disorders due to psychoactive substance use,G31.2 Degeneration of nervous system due to alcohol,G62.0 Drug-induced polyneuropathy,G62.1 Alcoholic polyneuropathy,G62.2 Polyneuropathy due to other toxic agents,G72.0 Drug-induced myopathy,G72.1 Alcoholic myopathy,G72.2 Myopathy due to other toxic agents,I42.6 Alcoholic cardiomyopathy,I42.7 Cardiomyopathy due to drugs and other external agents,K29.2 Alcoholic gastritis,K70 Alcoholic liver disease,"K73 Chronic hepatitis, not elsewhere classified",K74 Fibrosis and cirrhosis of liver,K74.2 Hepatic fibrosis with hepatic sclerosis,K85.2 Alcohol-induced acute pancreatitis,K86.0 Alcohol-induced chronic pancreatitis,"R78 Findings of drugs and other substances, not normally found in blood",X40-X49 Accidental poisoning by and exposure to noxious substances,X60-X84 Intentional self-harm,X85-Y09 Assault,"Y15 Poisoning by and exposure to alcohol, undetermined intent"
ladu:Darlington,1349,0,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,0,0,15,9,0,0
ladu:County Durham,6700,9,0,0,0,0,0,0,0,0,0,0,83,0,26,0,0,0,0,61,64,0,0
ladu:Hartlepool,1173,0,0,0,0,0,0,0,0,0,0,0,17,0,9,0,0,0,0,29,13,0,0
ladu:Middlesbrough,1686,5,0,0,0,0,0,0,0,0,0,0,25,0,5,0,0,0,0,35,25,0,0
ladu:Northumberland,3969,0,0,0,0,0,0,0,0,0,0,0,48,0,16,0,0,0,0,39,22,0,0
ladu:Redcar and Cleveland,1835,5,0,0,0,0,0,0,0,0,0,0,29,0,5,0,0,0,0,23,25,0,0
ladu:Stockton-on-Tees,2193,5,0,0,0,0,0,0,0,0,0,0,36,0,16,0,0,0,0,31,21,0,0
ladu:Gateshead,2512,0,0,0,0,0,0,0,0,0,0,0,24,0,10,0,0,0,0,26,21,0,0
ladu:Newcastle upon Tyne,2873,5,0,0,0,0,0,0,0,0,0,0,45,0,9,0,0,0,0,43,29,0,0
ladu:North Tyneside,2393,5,0,0,0,0,0,0,0,0,0,0,38,0,9,0,0,0,0,9,9,0,0
ladu:South Tyneside,1991,5,0,0,0,0,0,0,0,0,0,0,27,0,5,0,0,0,0,30,10,0,0
ladu:Sunderland,3554,5,0,0,0,0,0,0,0,0,0,0,51,0,17,0,0,0,0,32,43,0,0
ladu:Blackburn with Darwen,1525,0,0,0,0,0,0,0,0,0,0,0,21,0,5,0,0,0,0,20,13,0,0
ladu:Blackpool,2089,5,0,0,0,0,0,0,0,0,0,0,31,0,10,0,0,0,0,40,21,0,0
ladu:Cheshire East,4478,5,0,0,0,0,0,0,0,5,0,0,34,0,22,0,0,0,0,8,19,0,0
ladu:Cheshire West and Chester,3883,6,0,0,0,0,0,0,0,0,0,0,39,0,11,0,0,0,0,15,28,0,0
ladu:Halton,1380,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0,0,0,0,16,9,0,0
ladu:Warrington,2226,0,0,0,0,0,0,0,0,0,0,0,22,0,10,0,0,0,0,5,10,0,0
ladu:Allerdale,1310,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,14,10,0,0
ladu:Barrow-in-Furness,915,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,14,13,0,0
ladu:Carlisle,1395,0,0,0,0,0,0,0,0,0,0,0,16,0,5,0,0,0,0,33,14,0,0
ladu:Copeland,877,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,12,12,0,0
ladu:Eden,606,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0
ladu:South Lakeland,1515,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,8,7,0,0
ladu:Bolton,3132,8,0,0,0,0,0,0,0,0,0,0,49,0,7,0,0,0,0,20,16,0,0
ladu:Bury,2185,0,0,0,0,0,0,0,0,0,0,0,37,0,9,0,0,0,0,6,17,0,0
ladu:Manchester,4258,8,0,0,0,0,0,0,0,0,0,0,67,0,16,0,0,0,0,51,34,0,0
ladu:Oldham,2533,0,0,0,0,0,0,0,0,0,0,0,45,0,14,0,0,0,0,9,10,0,0
ladu:Rochdale,2505,5,0,0,0,0,0,0,0,5,0,0,47,0,5,0,0,0,0,21,17,0,0
ladu:Salford,2647,5,0,0,0,0,0,0,0,0,0,0,35,0,17,0,0,0,0,18,14,0,0
ladu:Stockport,3224,0,0,0,0,0,0,0,0,0,0,0,43,0,6,0,0,0,0,29,19,0,0
ladu:Tameside,2747,0,0,0,0,0,0,0,0,0,0,0,42,0,5,0,0,0,0,33,12,0,0
ladu:Trafford,2346,5,0,0,0,0,0,0,0,0,0,0,24,0,5,0,0,0,0,16,11,0,0
ladu:Wigan,3835,5,0,0,0,0,0,0,0,0,0,0,45,0,16,0,0,0,0,21,29,0,0
ladu:Burnley,1141,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,11,12,0,0
ladu:Chorley,1383,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,12,16,0,0
ladu:Fylde,1212,0,0,0,0,0,0,0,0,0,0,0,11,0,7,0,0,0,0,11,8,0,0
ladu:Hyndburn,936,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,9,9,0,0
ladu:Lancaster,1589,5,0,0,0,0,0,0,0,0,0,0,21,0,5,0,0,0,0,5,16,0,0
ladu:Pendle,1042,0,0,0,0,0,0,0,0,0,0,0,15,0,6,0,0,0,0,6,0,0,0
ladu:Preston,1518,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,19,16,0,0
ladu:Ribble Valley,747,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0
ladu:Rossendale,778,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,10,0,0
ladu:South Ribble,1161,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,6,8,0,0
ladu:West Lancashire,1435,0,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,0,0,7,8,0,0
ladu:Wyre,1710,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,13,7,0,0
ladu:Knowsley,1810,0,0,0,0,0,0,0,0,0,0,0,22,0,5,0,0,0,0,19,10,0,0
ladu:Liverpool,5445,13,0,0,0,0,0,0,0,0,0,0,58,0,22,0,0,0,0,81,48,5,0
ladu:Sefton,4004,0,0,0,0,0,0,0,0,0,0,0,50,0,18,0,0,0,0,25,18,0,0
ladu:St. Helens,2187,0,0,0,0,0,0,0,0,0,0,0,36,0,15,0,0,0,0,20,11,0,0
ladu:Wirral,4281,16,0,0,0,0,0,0,0,0,0,0,48,0,13,0,0,0,0,43,38,0,0
ladu:East Riding of Yorkshire,4457,5,0,0,0,0,0,0,0,0,0,0,23,0,10,0,0,0,0,19,31,0,0
"ladu:Kingston upon Hull, City of",2866,6,0,0,0,0,0,0,0,0,0,0,30,0,9,0,0,0,0,52,23,0,0
ladu:North East Lincolnshire,1940,5,0,0,0,0,0,0,0,0,0,0,27,0,6,0,0,0,0,5,0,0,0
ladu:North Lincolnshire,1937,0,0,0,0,0,0,0,0,0,0,0,14,0,7,0,0,0,0,10,12,0,0
ladu:York,2032,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,20,22,0,0
ladu:Craven,752,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,0
ladu:Hambleton,1058,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,13,0,0
ladu:Harrogate,1873,5,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,16,0,0
ladu:Richmondshire,571,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0
ladu:Ryedale,633,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0
ladu:Scarborough,1536,5,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,20,11,0,0
ladu:Selby,828,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,6,0,0
ladu:Barnsley,3105,0,0,0,0,0,0,0,0,0,0,0,37,0,5,0,0,0,0,31,30,0,0
ladu:Doncaster,3828,9,0,0,0,0,0,0,0,0,0,0,40,0,10,0,0,0,0,35,29,0,0
ladu:Rotherham,3426,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,22,16,0,0
ladu:Sheffield,5794,25,0,0,0,0,0,0,0,0,0,0,84,0,6,0,0,0,0,56,51,0,0
ladu:Bradford,5456,11,0,0,0,0,0,0,0,0,0,0,63,0,16,0,5,0,0,34,38,0,0
ladu:Calderdale,2200,5,0,0,0,0,0,0,0,0,0,0,27,0,7,0,0,0,0,16,17,0,0
ladu:Kirklees,4572,7,0,0,0,0,0,0,0,0,0,0,53,0,11,0,0,0,0,32,38,0,0
ladu:Leeds,7482,21,0,0,0,0,0,0,0,0,0,0,90,0,21,0,0,0,0,64,71,0,0
ladu:Wakefield,4105,8,0,0,0,0,0,0,0,0,0,0,48,0,16,0,0,0,0,45,43,0,0
ladu:Derby,2750,5,0,0,0,0,0,0,0,0,0,0,43,0,7,0,0,0,0,24,16,0,0
ladu:Leicester,3037,7,0,0,0,0,0,0,0,0,0,0,41,0,9,0,0,0,0,34,27,5,0
ladu:Nottingham,2729,0,0,0,0,0,0,0,0,0,0,0,32,0,12,0,0,0,0,31,18,0,0
ladu:Rutland,423,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
ladu:Amber Valley,1503,0,0,0,0,0,0,0,0,0,0,0,19,0,5,0,0,0,0,8,11,0,0
ladu:Bolsover,965,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,9,9,0,0
ladu:Chesterfield,1281,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,12,14,0,0
ladu:Derbyshire Dales,869,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,11,0,0
ladu:Erewash,1372,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,7,10,0,0
ladu:High Peak,1062,5,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,9,8,0,0
ladu:North East Derbyshire,1317,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,7,10,0,0
ladu:South Derbyshire,1041,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,5,10,0,0
